City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,13.62,70,62,4.75,AU,1683688135
1,puerto ayora,-0.7393,-90.3518,25.86,97,19,1.34,EC,1683688137
2,aykhal,66.0,111.5,-7.5,89,100,9.26,RU,1683688138
3,taltal,-25.4,-70.4833,17.67,78,27,2.0,CL,1683688217
4,grytviken,-54.2811,-36.5092,1.17,97,100,0.93,GS,1683688149
5,port-aux-francais,-49.35,70.2167,4.6,90,100,17.57,TF,1683688136
6,atafu village,-8.5421,-172.5159,28.87,77,17,6.44,TK,1683688497
7,yellowknife,62.456,-114.3525,13.09,50,28,4.92,CA,1683688043
8,isafjordur,66.0755,-23.124,3.73,95,100,1.99,IS,1683688482
9,tsiombe,-25.3,45.4833,20.17,91,3,2.44,MG,1683688497
10,imeko,7.45,2.85,24.22,93,83,1.83,NG,1683688498
11,adamstown,-25.066,-130.1015,21.72,59,90,5.59,PN,1683688448
12,crucecita,-28.95,-58.9833,13.04,73,0,2.54,AR,1683688261
13,tiksi,71.6872,128.8694,-8.34,81,83,6.71,RU,1683688498
14,bredasdorp,-34.5322,20.0403,13.43,88,99,1.38,ZA,1683688498
15,blackwater,-23.5833,148.8833,23.0,15,0,4.99,AU,1683688499
16,waitangi,-43.9535,-176.5597,17.12,93,100,5.36,NZ,1683688129
17,dudinka,69.4058,86.1778,-16.13,92,39,2.19,RU,1683688499
18,kalmunai,7.4167,81.8167,27.13,79,100,2.43,LK,1683688499
19,puerto natales,-51.7236,-72.4875,2.34,89,48,1.48,CL,1683688138
20,rabo de peixe,37.8,-25.5833,17.73,94,75,3.09,PT,1683688500
21,papatowai,-46.5619,169.4708,10.35,65,65,4.52,NZ,1683688141
22,uturoa,-16.7333,-151.4333,27.56,75,49,4.57,PF,1683688157
23,sao felix do xingu,-6.6447,-51.995,23.41,87,60,1.16,BR,1683688185
24,hermanus,-34.4187,19.2345,15.45,73,100,3.0,ZA,1683688158
25,port saint john's,-31.6229,29.5448,16.8,86,2,2.59,ZA,1683688248
26,edinburgh of the seven seas,-37.0676,-12.3116,13.3,61,83,9.7,SH,1683688135
27,katsuura,35.1333,140.3,18.33,61,2,5.41,JP,1683688452
28,ust-nera,64.5667,143.2,3.3,44,100,4.43,RU,1683688170
29,acapulco de juarez,16.8634,-99.8901,28.9,79,0,3.6,MX,1683687963
30,namie,37.4833,141.0,23.64,63,0,0.45,JP,1683688503
31,kadnikov,59.5022,40.338,6.66,71,69,1.35,RU,1683688503
32,haiku-pauwela,20.9219,-156.3051,27.01,44,20,8.75,US,1683688176
33,mount isa,-20.7333,139.5,22.5,17,0,8.11,AU,1683688175
34,bethel,41.3712,-73.414,12.05,64,0,3.09,US,1683688137
35,tiko,4.0745,9.3699,25.57,91,57,1.12,CM,1683688506
36,susuman,62.7833,148.1667,6.31,56,47,7.24,RU,1683688193
37,kailua-kona,19.6406,-155.9956,29.98,67,75,9.77,US,1683688507
38,invercargill,-46.4,168.35,8.34,95,51,1.34,NZ,1683687933
